axis,regime,detector,enhancement,mAP@0.5,mAP@[.5:.95],P@0.25,R@0.25,F1@0.25,FPS,n_images
enhancement,frozen-coco,yolov8s,original,0.6212,0.353,0.6265,0.6347,0.6306,3.7,360
enhancement,frozen-coco,yolov8s,gamma,0.5858,0.3293,0.6146,0.6048,0.6097,3.7,360
enhancement,frozen-coco,yolov8s,adaptive_gamma,0.5399,0.3019,0.63,0.5601,0.593,3.8,360
enhancement,frozen-coco,yolov8s,hist_eq,0.5138,0.2872,0.6155,0.5387,0.5746,3.8,360
enhancement,frozen-coco,yolov8s,clahe_hsv,0.616,0.3457,0.6131,0.6291,0.621,3.7,360
enhancement,frozen-coco,yolov8s,clahe_lab,0.6148,0.3483,0.617,0.6291,0.623,3.6,360
enhancement,frozen-coco,yolov8s,msr,0.5103,0.2814,0.6353,0.5163,0.5697,0.0,360
enhancement,frozen-coco,yolov8s,msrcr,0.5138,0.282,0.6062,0.5266,0.5636,0.1,360
enhancement,frozen-coco,yolov8s,gray_world,0.5365,0.2957,0.637,0.5461,0.5881,3.8,360
enhancement,frozen-coco,yolov8s,dcp,0.5659,0.3142,0.6305,0.5741,0.601,3.6,360
enhancement,frozen-coco,yolov8n,original,0.5811,0.3309,0.6368,0.5798,0.6069,2.7,180
detector,frozen-coco,yolov8n,original,0.5811,0.3309,0.6368,0.5798,0.6069,2.7,180
enhancement,frozen-coco,yolov8n,gamma,0.5469,0.3128,0.6561,0.5642,0.6067,2.4,180
enhancement,frozen-coco,yolov8n,adaptive_gamma,0.5036,0.2868,0.6331,0.5136,0.5671,1.8,180
enhancement,frozen-coco,yolov8n,brightness_contrast,0.5403,0.3116,0.6142,0.5389,0.5741,1.8,180
enhancement,frozen-coco,yolov8n,hist_eq,0.4867,0.269,0.6321,0.4981,0.5571,1.6,180
enhancement,frozen-coco,yolov8n,clahe_hsv,0.5736,0.3237,0.6328,0.5934,0.6124,1.6,180
enhancement,frozen-coco,yolov8n,clahe_lab,0.5755,0.3297,0.6422,0.5798,0.6094,1.2,180
enhancement,frozen-coco,yolov8n,gray_world,0.4907,0.2792,0.6316,0.4903,0.552,1.2,180
enhancement,frozen-coco,yolov8n,dcp,0.5303,0.2915,0.6372,0.5195,0.5723,1.1,180
detector,frozen-coco,yolov8s,original,0.6519,0.3821,0.6007,0.6732,0.6349,0.8,180
detector,frozen-coco,yolo11n,original,0.6323,0.3593,0.6618,0.6206,0.6406,0.8,180
detector,frozen-coco,yolov5nu,original,0.5482,0.3094,0.6519,0.5428,0.5924,0.9,180
