config,regime,Bicycle,Boat,Bottle,Bus,Car,Cat,Chair,Cup,Dog,Motorbike,People,Table
yolov8n/original,frozen-coco,0.6012,0.432,0.5058,0.697,0.6301,0.6425,0.4413,0.4956,0.4765,0.719,0.6809,0.2983
yolov8s/original,frozen-coco,0.6802,0.4378,0.5461,0.8434,0.7246,0.7105,0.4571,0.5669,0.6149,0.8198,0.7368,0.3168
yolo11n/original,frozen-coco,0.6631,0.4552,0.4749,0.7978,0.6787,0.5937,0.4219,0.513,0.6394,0.7049,0.6933,0.2838
yolov5nu/original,frozen-coco,0.5471,0.4206,0.4656,0.7244,0.6139,0.4553,0.4173,0.4219,0.5237,0.7249,0.6788,0.2674
yolov8s/original,frozen-coco,0.6802,0.4378,0.5461,0.8434,0.7246,0.7105,0.4571,0.5669,0.6149,0.8198,0.7368,0.3168
yolov8s/gamma,frozen-coco,0.6809,0.43,0.5528,0.8265,0.6715,0.6346,0.4541,0.5183,0.5334,0.7244,0.7273,0.2753
yolov8s/adaptive_gamma,frozen-coco,0.6476,0.4157,0.4769,0.8039,0.607,0.5867,0.3905,0.4548,0.5233,0.6541,0.6893,0.2293
yolov8s/hist_eq,frozen-coco,0.5566,0.4358,0.4287,0.7785,0.5998,0.4781,0.3691,0.425,0.5073,0.664,0.6857,0.2365
yolov8s/clahe_hsv,frozen-coco,0.6361,0.4409,0.5811,0.8221,0.7168,0.7424,0.4521,0.5344,0.6029,0.7835,0.7473,0.3325
yolov8s/clahe_lab,frozen-coco,0.6781,0.4456,0.5598,0.8375,0.7103,0.7225,0.4474,0.5225,0.5743,0.8192,0.7387,0.321
yolov8s/msr,frozen-coco,0.6289,0.4603,0.3753,0.7791,0.6089,0.5307,0.4006,0.4681,0.4532,0.5407,0.6556,0.2219
yolov8s/msrcr,frozen-coco,0.5968,0.4297,0.431,0.7437,0.5906,0.4689,0.3643,0.4749,0.4873,0.68,0.6427,0.2561
yolov8s/gray_world,frozen-coco,0.6228,0.4422,0.4685,0.775,0.5953,0.593,0.3778,0.4403,0.5464,0.6563,0.6738,0.2469
yolov8s/dcp,frozen-coco,0.658,0.4344,0.5242,0.7781,0.6185,0.5605,0.4621,0.483,0.4944,0.7504,0.7074,0.3198
